Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
10,8788;53,00;19,20;0,00;0,00;0,00
10,9091;53,00;19,05;0,00;0,00;0,00
10,9394;52,00;19,05;0,00;0,00;0,00
10,9697;51,00;19,05;0,00;0,00;0,00
11,0000;52,00;19,05;0,00;0,00;0,00
11,0303;54,00;18,90;0,00;0,00;0,00
11,0606;54,00;19,05;0,00;0,00;0,00
11,0909;53,00;19,05;0,00;0,00;0,00
11,1212;51,00;19,05;0,00;0,00;0,00
11,1515;52,00;19,05;0,00;0,00;0,00
11,1818;52,00;19,05;0,00;0,00;0,00
11,2121;52,00;19,05;0,00;0,00;0,00
11,2424;52,00;19,05;0,00;0,00;0,00
11,2727;53,00;19,05;0,00;0,00;0,00
11,3030;53,00;19,05;0,00;0,00;0,00
11,3333;53,00;19,05;0,00;0,00;0,00
11,3636;53,00;19,05;0,00;0,00;0,00
11,3939;54,00;19,05;0,00;0,00;0,00
11,4242;55,00;19,05;0,00;0,00;0,00
11,4545;54,00;19,05;0,00;0,00;0,00
11,4848;54,00;19,05;0,00;0,00;0,00
11,5152;55,00;19,05;0,00;0,00;0,00
11,5455;54,00;19,05;0,00;0,00;0,00
11,5758;53,00;19,05;0,00;0,00;0,00
11,6061;54,00;19,05;0,00;0,00;0,00
11,6364;55,00;19,05;0,00;0,00;0,00
11,6667;52,00;19,05;0,00;0,00;0,00
11,6970;53,00;18,90;0,00;0,00;0,00
11,7273;54,00;19,05;0,00;0,00;0,00
11,7576;53,00;19,05;0,00;0,00;0,00
11,7879;53,00;19,20;0,00;0,00;0,00
11,8182;53,00;19,05;0,00;0,00;0,00
11,8485;54,00;18,90;0,00;0,00;0,00
11,8788;53,00;19,05;0,00;0,00;0,00
11,9091;54,00;19,05;0,00;0,00;0,00
11,9394;52,00;19,05;0,00;0,00;0,00
11,9697;53,00;19,05;0,00;0,00;0,00
12,0000;55,00;19,05;0,00;0,00;0,00
12,0303;54,00;19,05;0,00;0,00;0,00
12,0606;53,00;19,05;0,00;0,00;0,00
12,0909;52,00;19,05;0,00;0,00;0,00
12,1212;51,00;19,05;0,00;0,00;0,00
12,1515;53,00;19,05;0,00;0,00;0,00
12,1818;52,00;19,05;0,00;0,00;0,00
12,2121;51,00;19,05;0,00;0,00;0,00
12,2424;51,00;18,90;0,00;0,00;0,00
12,2727;53,00;19,05;0,00;0,00;0,00
12,3030;52,00;19,05;0,00;0,00;0,00
12,3333;52,00;19,05;0,00;0,00;0,00
12,3636;53,00;19,05;0,00;0,00;0,00
12,3939;54,00;19,05;0,00;0,00;0,00
12,4242;53,00;19,05;0,00;0,00;0,00
12,4545;53,00;19,05;0,00;0,00;0,00
12,4848;53,00;19,05;0,00;0,00;0,00
12,5152;55,00;19,05;0,00;0,00;0,00
12,5455;53,00;19,05;0,00;0,00;0,00
12,5758;54,00;19,05;0,00;0,00;0,00
12,6061;53,00;19,05;0,00;0,00;0,00
12,6364;53,00;19,05;0,00;0,00;0,00
12,6667;54,00;18,90;0,00;0,00;0,00
12,6970;52,00;19,05;0,00;0,00;0,00
12,7273;52,00;19,05;0,00;0,00;0,00
12,7576;53,00;19,05;0,00;0,00;0,00
12,7879;55,00;19,05;0,00;0,00;0,00
12,8182;53,00;19,05;0,00;0,00;0,00
12,8485;54,00;19,05;0,00;0,00;0,00
12,8788;52,00;19,05;0,00;0,00;0,00
